schl_nr,feld,wert_alt,wert_neu,beleg,quelle,datum
01218,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
01228,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
01253,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
01301,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
01308,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
01310,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
01320,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
01333,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
01382,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
01400,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
01416,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
01453,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
01492,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
01501,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
01521,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
01528,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
01539,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
01542,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
01591,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
01621,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
01632,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
01633,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
01687,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
01729,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
01834,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
01845,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
01863,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
01994,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
02070,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
02086,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
02090,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
02137,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
02149,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
02171,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
02224,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
02269,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
02279,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
02311,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
02320,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
02335,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
02449,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
02474,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
02508,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
02515,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
02599,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
02600,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
02621,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
02656,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
02769,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
02821,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
02834,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
02845,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
02934,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
03012,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
03021,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
03067,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
03204,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
03226,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
03241,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
03333,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
03359,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
03379,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
03459,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
03499,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
03631,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
03670,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
03691,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
03724,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
03748,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
03760,eintrag,,,Sichtung 2026-09-14 am Scan-Ausschnitt: alle Felder wie gedruckt (Bestätigung),llm-lauf,2026-09-14
00519,stadium_1_name,Dahl- Burgstraße - Burg Altendorf hauser Straße,Dahlhauser Straße,"16. Juni 1911: Dahlhauser Straße, 16. Dezember 1970: Burgstraße (Scan S. 85/86; Bildunterschrift „Burgstraße - Burg Altendorf“ im Umbruch des Namens)",llm-lauf,2026-09-14
00746,stadium_1_name,Prumendorfer Eisenhammerweg - Deilbachhammer Straße,Prumendorfer Straße,"06. August 1907: Prumendorfer Straße, 09. Juli 1915: Einigkeitsstraße (Scan S. 104/105; Bildunterschrift „Eisenhammerweg - Deilbachhammer“ im Umbruch des Namens)",llm-lauf,2026-09-14
03771,stadium_1_name,Zur Kammgarnspinnerei - Kammgarnspinnerei 1914 Zur Kanzel,Zur Kanzel,etwa 1935: Zur Kanzel (Scan S. 360/361; Bildunterschrift „Zur Kammgarnspinnerei - Kammgarnspinnerei 1914“ im Umbruch),llm-lauf,2026-09-14
